,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
47,Addington,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Sweet Vermouth,
48,Addison,,,,,,,1 1/2 shot 
49,Addison Special,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,,
50,Adios Amigos Cocktail,,,,,,,
51,Adonis Cocktail,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",,
52,Affair,,,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Strawberry schnapps,
53,Affinity,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,
54,After Dinner Cocktail,,,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Apricot brandy,
55,After Five,,,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",Peppermint schnapps,
56,After Supper Cocktail,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Triple sec,
57,After sex,,,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,,2 cl 
58,Afterglow,Non alcoholic,,,,Mix. Serve over ice.,Grenadine,
59,Afternoon,,Coffee / Tea,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",,1 cl 
60,Alabama Slammer,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Southern Comfort,
61,Alaska Cocktail,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Orange bitters,2 dashes 
62,Alexander,,,,Unforgettables,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,
63,Alfie Cocktail,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Lemon vodka,
