,Unnamed: 0,Name,ModificationDate,DrinkID,DrinkType,Category,GlassImageLink,Glass,IBA,Recipe,Video,Ingredients,Measure
179,373,,,,,,,,,,,,
180,374,,,,,,,,,,,,
181,375,,,,,,,,,,,,
182,376,,,,,,,,,,,,
183,377,,,,,,,,,,,,
184,378,,,,,,,,,,,,
185,379,,,,,,,,,,,,
186,380,,,,,,,,,,,,
187,381,,,,,,,,,,,,
188,382,,,,,,,,,,,,
189,383,,,,,,,,,,,,
190,384,,,,,,,,,,,,
191,385,,,,,,,,,,,,
192,386,,,,,,,,,,,,
193,387,,,,,,,,,,,,
194,388,,,,,,,,,,,,1 drop green 
195,389,,,,,,,,,,,,
196,390,,,,,,,,,,,,
197,391,,,,,,,,,,,,
198,392,,,,,,,,,,,,
199,393,,,,,,,,,,,,
200,394,,,,,,,,,,,,
201,395,,,,,,,,,,,,
202,396,,,,,,,,,,,,
203,397,,,,,,,,,,,,
204,398,,,,,,,,,,,,
205,399,,,,,,,,,,,,
206,701,,,,,,,,,,,Grand Marnier,1/4 oz 
207,702,,,,,,,,,,,,1.5 oz 
208,705,,,,,,,,,,,Jägermeister,
209,706,,,,,,,,,,,Wild Turkey,1/2 shot 
210,707,,,,,,,,,,,Johnnie Walker,
211,709,,,,,,,,,,,Coca-Cola,
212,710,,,,,,,,,,,,1 splash 
213,711,,,,,,,,,,,Blueberry schnapps,
214,712,,,,,,,,,,,,4 oz 
215,713,,,,,,,,,,,Bailey's irish cream,
216,714,,,,,,,,,,,Orange Curacao,
217,716,,,,,,,,,,,Ginger beer,
218,717,,,,,,,,,,,Peach schnapps,
219,718,,,,,,,,,,,Añejo rum,
220,720,,,,,,,,,,,Soda water,
221,721,,,,,,,,,,,Lemon,Juice of 1/2 
222,722,,,,,,,,,,,Kirschwasser,
223,723,,,,,,,,,,,Grapefruit juice,
224,725,,,,,,,,,,,,1 Shot 
225,729,,,,,,,,,,,,1 dash 
226,731,,,,,,,,,,,Peach nectar,
227,732,,,,,,,,,,,,50 gr 
228,733,,,,,,,,,,,Pisang Ambon,
229,734,,,,,,,,,,,Midori melon liqueur,
230,736,,,,,,,,,,,Sweet and sour,
231,737,,,,,,,,,,,Lime juice,
232,739,,,,,,,,,,,Cranberry Juice,
233,741,,,,,,,,,,,,1 1/2 tsp 
234,743,,,,,,,,,,,Lemon juice,
235,744,,,,,,,,,,,Cognac,
236,746,,,,,,,,,,,Lemonade,1/2 can 
237,748,,,,,,,,,,,Vermouth,
238,749,,,,,,,,,,,,1 tblsp 
239,751,,,,,,,,,,,Sherry,1 1/2 oz dry 
240,757,,,,,,,,,,,Creme de Banane,
241,758,,,,,,,,,,,,4 parts 
242,762,,,,,,,,,,,,1/2 oz white 
243,767,,,,,,,,,,,Bourbon,
244,770,,,,,,,,,,,Dark Creme de Cacao,
245,772,,,,,,,,,,,Ginger,2 tsp 
246,773,,,,,,,,,,,Light cream,
247,775,,,,,,,,,,,Lime,1 
248,777,,,,,,,,,,,Brandy,
249,783,,,,,,,,,,,,3 shots 
250,786,,,,,,,,,,,,1 oz red 
251,787,,,,,,,,,,,Apple brandy,
252,788,,,,,,,,,,,Almond,1 tblsp chopped 
253,789,,,,,,,,,,,,3 cl 
254,790,,,,,,,,,,,Apple,2 
255,791,,,,,,,,,,,Brown sugar,
256,792,,,,,,,,,,,,12 oz 
257,793,,,,,,,,,,,Carrot,1 large 
258,795,,,,,,,,,,,Apple schnapps,
259,799,,,,,,,,,,,Champagne,4 fifth 
260,801,,,,,,,,,,,Chambord raspberry liqueur,
261,803,,,,,,,,,,,,1/2 oz Bacardi 
262,805,,,,,,,,,,,Rumple Minze,
263,807,,,,,,,,,,,Jim Beam,
264,810,,,,,,,,,,,,Fill with 
265,812,,,,,,,,,,,,0.75 oz 
266,813,,,,,,,,,,,Frangelico,
267,814,,,,,,,,,,,Strawberry liqueur,
268,816,,,,,,,,,,,Lemon peel,1 twist of 
269,819,,,,,,,,,,,Ice," cubes
"
270,820,,,,,,,,,,,,0.5 oz 
271,822,,,,,,,,,,,,1 tsp 
272,825,,,,,,,,,,,Lemon Juice,1/4 Shot
273,828,,,,,,,,,,,Tonic water,
274,829,,,,,,,,,,,Orange,Juice of 1/4 
275,830,,,,,,,,,,,Orange Juice,
276,832,,,,,,,,,,,Anise,50 ml pure 
277,835,,,,,,,,,,,Coconut liqueur,
278,836,,,,,,,,,,,Sprite,
279,838,,,,,,,,,,,Ginger ale,
280,839,,,,,,,,,,,,Top up with
281,842,,,,,,,,,,,Heavy cream,
282,844,,,,,,,,,,,Creme de Cassis,
283,847,,,,,,,,,,,Soda Water,"Top up with
"
284,848,,,,,,,,,,,,"
"
285,854,,,,,,,,,,,,Juice of 1 
286,858,,,,,,,,,,,Pineapple juice,
287,859,,,,,,,,,,,,1 1/2 
288,860,,,,,,,,,,,Sloe gin,
289,861,,,,,,,,,,,Yellow Chartreuse,
290,867,,,,,,,,,,,Blackberry brandy,
291,868,,,,,,,,,,,Kummel,
292,869,,,,,,,,,,,Egg white,
293,870,,,,,,,,,,,Coffee,8 oz 
294,872,,,,,,,,,,,Guava juice,
295,874,,,,,,,,,,,Apricot,
296,876,,,,,,,,,,,Club soda,
297,882,,,,,,,,,,,,1/4 cl 
298,883,,,,,,,,,,,Cider,1/2 cup 
299,885,,,,,,,,,,,Whipped cream,Chilled 
300,886,,,,,,,,,,,,Twist of 
301,888,,,,,,,,,,,Allspice,1 cracked 
302,891,,,,,,,,,,,,6 oz frozen 
303,894,,,,,,,,,,,Cinnamon,3 dashes 
304,899,,,,,,,,,,,,1 fifth 
305,921,,,,,,,,,,,Maraschino cherry,
306,922,,,,,,,,,,,Strawberries,5 
307,924,,,,,,,,,,,Hot chocolate,
308,925,,,,,,,,,,,,1/8 Shot
309,929,,,,,,,,,,,Cherry,
310,930,,,,,,,,,,,Angostura Bitters,
311,932,,,,,,,,,,,Licorice root,
312,933,,,,,,,,,,,Bitter lemon,
313,937,,,,,,,,,,,,Top it up with 
314,938,,,,,,,,,,,,Add 
315,940,,,,,,,,,,,,Fill to top 
316,942,,,,,,,,,,,Milk,
317,944,,,,,,,,,,,Fresh Lemon Juice,1/8 shot 
318,945,,,,,,,,,,,,1/2 part 
319,946,,,,,,,,,,,,10 tsp 
320,959,,,,,,,,,,,,4 cl hot 
321,962,,,,,,,,,,,Nutmeg,
322,965,,,,,,,,,,,Cream,
323,972,,,,,,,,,,,,1 1/2 tblsp 
324,974,,,,,,,,,,,Almond flavoring,
325,981,,,,,,,,,,,,Add splash 
326,983,,,,,,,,,,,,Add 1/2 cup 
327,986,,,,,,,,,,,Orange peel,
328,988,,,,,,,,,,,,1 one-inch 
329,999,,,,,,,,,,,,4 L 
330,1003,,,,,,,,,,,Cointreau,
331,1022,,,,,,,,,,,Schweppes Russchian,
332,1032,,,,,,,,,,,Wormwood,
333,1036,,,,,,,,,,,,1 slice 
334,1042,,,,,,,,,,,Egg White,1/2 Fresh
335,1045,,,,,,,,,,,Fruit,
336,1050,,,,,,,,,,,Fresh Lime Juice,1/4 shot
337,1072,,,,,,,,,,,Pineapple,1 1/2 cup 
338,1074,,,,,,,,,,,Grain alcohol,1/2 cup pure 
339,1088,,,,,,,,,,,,3-6 crushed 
340,1091,,,,,,,,,,,Cloves,6 whole 
341,1099,,,,,,,,,,,,1/2 gal 
342,1141,,,,,,,,,,,Mint,
343,1150,,,,,,,,,,,Sugar Syrup,
344,1188,,,,,,,,,,,Coriander,1/8 tsp powdered 
345,1208,,,,,,,,,,,,1-2 dash 
346,1245,,,,,,,,,,,Salt,1-3 pint 
347,1272,,,,,,,,,,,,3-4 cups 
348,1288,,,,,,,,,,,Marjoram leaves,1 tblsp fresh chopped 
349,1291,,,,,,,,,,,,1 tsp ground 
350,1303,,,,,,,,,,,Vanilla ice-cream,
351,1308,,,,,,,,,,,Bitters,1 wedge 
352,1345,,,,,,,,,,,Fruit juice,
353,1374,,,,,,,,,,,,3 drops yellow 
354,1388,,,,,,,,,,,,1.5 cup 
355,1391,,,,,,,,,,,,3 sticks 
356,1474,,,,,,,,,,,,6 drops red 
357,1488,,,,,,,,,,,,1/2 cup granulated 
358,1500,,,,,,,,,,,"['Creme de Cacao', nan, nan, nan, nan, nan, nan, 'Vodka', nan, nan, nan, nan, nan, nan, nan]","['1 oz white ', nan, nan, nan, nan, nan, nan, '1 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]"
359,1501,,,,,,,,,,,"['Absolut Kurant', nan, nan, nan, nan, nan, nan, 'Grand Marnier', 'Chambord raspberry liqueur', 'Midori melon liqueur', 'Malibu rum', 'Amaretto', 'Cranberry juice', 'Pineapple juice', nan]","['1/2 oz ', ' ', ' ', ' ', ' ', nan, nan, '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/2 oz ', '1/4 oz ', ' ']"
360,1502,,,,,,,,,,,"['Lager', nan, nan, nan, nan, nan, nan, 'Tequila', nan, nan, nan, nan, nan, nan, nan]","['16 oz ', nan, nan, nan, nan, nan, nan, '1.5 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]"
361,1503,,,,,,,,,,,"['Malibu rum', nan, nan, nan, nan, nan, nan, 'Light rum', '151 proof rum', 'Dark Creme de Cacao', 'Cointreau', 'Milk', 'Coconut liqueur', 'Vanilla ice-cream', nan]","['1/2 oz ', ' ', ' ', ' ', ' ', nan, nan, '1/2 oz ', '1/2 oz Bacardi ', '1 oz ', '1 oz ', '3 oz ', '1 oz ', '1 cup ', ' ']"
362,1504,,,,,,,,,,,"['Dark rum', nan, nan, nan, nan, nan, nan, 'Light rum', 'Vodka', 'Orange juice', nan, nan, nan, nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '2 shots ', '1 shot ', '1 shot ', ' ', ' ', ' ', ' ', ' ']"
363,1505,,,,,,,,,,,"['Goldschlager', nan, nan, nan, nan, nan, nan, 'Jägermeister', 'Rumple Minze', '151 proof rum', nan, nan, nan, nan, nan]","['1/2 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ', ' ', ' ', ' ', ' ', ' ']"
364,1506,,,,,,,,,,,"['151 proof rum', nan, nan, nan, nan, nan, nan, 'Wild Turkey', nan, nan, nan, nan, nan, nan, nan]","['1/2 shot Bacardi ', nan, nan, nan, nan, nan, nan, '1/2 shot ', ' ', ' ', ' ', ' ', ' ', nan, nan]"
365,1507,,,,,,,,,,,"['Jack Daniels', nan, nan, nan, nan, nan, nan, 'Johnnie Walker', 'Jim Beam', nan, nan, nan, nan, nan, nan]","['1/3 oz ', nan, nan, nan, nan, nan, nan, '1/3 oz ', '1/3 oz ', ' ', ' ', ' ', ' ', ' ', nan]"
366,1508,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Light rum', 'Tequila', 'Triple sec', 'Vodka', 'Coca-Cola', 'Sweet and sour', 'Bitters', 'Lemon']","['1/2 oz ', ' ', ' ', ' ', ' ', nan, nan, '1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '\n', '1-2 dash ', '1 wedge ', ' ']"
367,1509,,,,,,,,,,,"['Peach Vodka', nan, nan, nan, nan, nan, nan, 'Coca-Cola', nan, nan, nan, nan, nan, nan, nan]","['2-3 oz', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
368,1510,,,,,,,,,,,"['Vanilla vodka', nan, nan, nan, nan, nan, nan, 'Grand Marnier', 'Orange juice', nan, nan, nan, nan, nan, nan]","['2 1/2 oz ', nan, nan, nan, nan, nan, nan, '1 splash ', 'Fill with ', ' ', ' ', ' ', ' ', ' ', nan]"
369,1511,,,,,,,,,,,"['Blue Curacao', nan, nan, nan, nan, nan, nan, 'Blueberry schnapps', 'Vodka', 'Sour mix', '7-Up', nan, nan, nan, nan]","['\n', nan, nan, nan, nan, nan, nan, '\n', '\n', '\n', '\n', '\n', '\n', '\n', nan]"
370,1512,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, '7-Up', 'Lemon juice', nan, nan, nan, nan, nan, nan]","['2 oz dry ', nan, nan, nan, nan, nan, nan, '4 oz ', '0.75 oz ', ' ', ' ', ' ', ' ', ' ', nan]"
371,1513,,,,,,,,,,,"['Kahlua', nan, nan, nan, nan, nan, nan, ""Bailey's irish cream"", 'Frangelico', nan, nan, nan, nan, nan, nan]","['1/3 part ', nan, nan, nan, nan, nan, nan, '1/3 part ', '1/3 part ', ' ', ' ', ' ', ' ', ' ', nan]"
372,1514,,,,,,,,,,,"['Absolut Citron', nan, nan, nan, nan, nan, nan, 'Orange Curacao', 'Strawberry liqueur', 'Orange juice', nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '1 splash ', '1 oz ', ' ', ' ', ' ', ' ', ' ']"
373,1515,,,,,,,,,,,"['Coconut rum', nan, nan, nan, nan, nan, nan, 'Amaretto', 'Orange juice', 'Grenadine', nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '4 oz ', '1/2 oz ', ' ', ' ', ' ', ' ', ' ']"
374,1516,,,,,,,,,,,"['Light rum', nan, nan, nan, nan, nan, nan, 'Ginger beer', 'Lemon peel', nan, nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '4 oz ', '1 twist of ', ' ', ' ', ' ', ' ', ' ', nan]"
375,1517,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Peach schnapps', 'Orange juice', 'Cranberry juice', nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '3 oz ', '3 oz ', ' ', ' ', ' ', ' ', ' ']"
376,1518,,,,,,,,,,,"['Light rum', nan, nan, nan, nan, nan, nan, 'Añejo rum', 'Orange juice', 'Lemon juice', 'Ginger ale', 'Lemon peel', nan, nan, nan]","['1 oz ', ' ', ' ', nan, nan, nan, nan, '1 oz ', '1 oz ', '1/2 oz ', '3 oz ', '1 twist of ', ' ', ' ', ' ']"
377,1519,,,,,,,,,,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Southern Comfort', 'Ice', 'Sour mix', nan, nan, nan, nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '1 shot ', ' cubes\n', '\n', '\n', '\n', '\n', '\n', '\n']"
378,1520,,,,,,,,,,,"['Cranberry juice', nan, nan, nan, nan, nan, nan, 'Soda water', 'Midori melon liqueur', 'Creme de Banane', nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '2 oz ', '0.5 oz ', '0.5 oz ', ' ', ' ', ' ', ' ', ' ']"
379,1521,,,,,,,,,,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Lemon', 'Ice', 'Maraschino cherry', nan, nan, nan, nan, nan]","['1 jigger ', nan, nan, nan, nan, nan, nan, 'Juice of 1/2 ', '\n', ' ', ' ', ' ', ' ', ' ', nan]"
380,1522,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Kirschwasser', 'Strawberry liqueur', 'Strawberries', 'Schweppes Russchian', nan, nan, nan, nan]","['2 oz ', '\n', nan, nan, nan, nan, nan, '1 oz ', '1 tsp ', '5 ', '\n', '\n', '\n', '\n', '\n']"
381,1523,,,,,,,,,,,"['Applejack', nan, nan, nan, nan, nan, nan, 'Grapefruit juice', nan, nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]"
382,1524,,,,,,,,,,,"['White Creme de Menthe', nan, nan, nan, nan, nan, nan, 'Southern Comfort', 'Vodka', 'Hot chocolate', nan, nan, nan, nan, nan]","['1/2 oz ', nan, nan, nan, nan, nan, nan, '3/4 oz ', '1/2 oz ', 'Fill with ', ' ', ' ', ' ', ' ', ' ']"
383,1525,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Grand Marnier', 'Lemon Juice', 'Grenadine', nan, nan, nan, nan, nan]","['1 3/4 shot ', nan, nan, nan, nan, nan, nan, '1 Shot ', '1/4 Shot', '1/8 Shot', '\r\n', '\r\n', '\r\n', nan, nan]"
384,1526,,,,,,,,,,,"['Amaretto', nan, nan, nan, nan, nan, nan, ""Bailey's irish cream"", 'Cognac', nan, nan, nan, nan, nan, nan]","['1/3 ', nan, nan, nan, nan, nan, nan, '1/3 ', '1/3 ', ' ', ' ', ' ', ' ', ' ', nan]"
385,1527,,,,,,,,,,,"['151 proof rum', nan, nan, nan, nan, nan, nan, 'Wild Turkey', nan, nan, nan, nan, nan, nan, nan]","['1 oz Bacardi ', nan, nan, nan, nan, nan, nan, '1 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]"
386,1528,,,,,,,,,,,"['Absolut Vodka', nan, nan, nan, nan, nan, nan, 'Gin', 'Tonic water', nan, nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '4 oz ', ' ', ' ', ' ', ' ', ' ', nan]"
387,1529,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Orange bitters', 'Orange', 'Cherry', nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '1 dash ', 'Juice of 1/4 ', '1 ', ' ', ' ', ' ', ' ', ' ']"
388,1530,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Sweet Vermouth', 'Orange Juice', 'Angostura Bitters', nan, nan, nan, nan, nan]","['2 shots ', nan, nan, nan, nan, nan, nan, '1 shot ', '1 shot ', '3 dashes ', '\r\n', '\r\n', '\r\n', nan, nan]"
389,1531,,,,,,,,,,,"['Dark rum', nan, nan, nan, nan, nan, nan, 'Peach nectar', 'Orange juice', nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '2 oz ', '3 oz ', ' ', ' ', ' ', ' ', ' ', nan]"
390,1532,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Sugar', 'Anise', 'Licorice root', 'Wormwood', nan, nan, nan, nan]","['1 bottle ', ' ', nan, nan, nan, nan, nan, '50 gr ', '50 ml pure ', '1 tblsp ', '1 ', ' ', ' ', ' ', ' ']"
391,1533,,,,,,,,,,,"['Absolut Citron', nan, nan, nan, nan, nan, nan, 'Pisang Ambon', 'Ice', 'Bitter lemon', nan, nan, nan, nan, nan]","['2/3 part ', nan, nan, nan, nan, nan, nan, '1/3 part ', ' cubes\n', '\n', '\n', '\n', '\n', '\n', '\n']"
392,1534,,,,,,,,,,,"['Absolut Kurant', nan, nan, nan, nan, nan, nan, 'Midori melon liqueur', 'Cranberry juice', 'Sprite', nan, nan, nan, nan, nan]","['3/4 oz ', nan, nan, nan, nan, nan, nan, '3/4 oz ', '1 oz ', '1 splash ', ' ', ' ', ' ', ' ', ' ']"
393,1535,,,,,,,,,,,"['Absolut Vodka', nan, nan, nan, nan, nan, nan, 'Peach schnapps', 'Coconut liqueur', 'Cranberry juice', 'Pineapple juice', nan, nan, nan, nan]","['1 1/2 oz ', ' ', nan, nan, nan, nan, nan, '1/2 oz ', '1/2 oz ', '1 1/2 oz ', '1 1/2 oz ', ' ', ' ', ' ', ' ']"
394,1536,,,,,,,,,,,"['Absolut Citron', nan, nan, nan, nan, nan, nan, 'Sweet and sour', 'Sprite', 'Soda water', 'Lemon', nan, nan, nan, nan]","['1 1/2 oz ', ' ', nan, nan, nan, nan, nan, '3/4 oz ', '1/2 oz ', '3 oz ', '1 slice ', ' ', ' ', ' ', ' ']"
395,1537,,,,,,,,,,,"['Absolut Citron', nan, nan, nan, nan, nan, nan, 'Lime juice', 'Ice', 'Tonic water', nan, nan, nan, nan, nan]","['2/3 ', nan, nan, nan, nan, nan, nan, '1/3 ', 'Fill with ', 'Top it up with ', ' ', ' ', ' ', ' ', ' ']"
396,1538,,,,,,,,,,,"['Absolut Vodka', nan, nan, nan, nan, nan, nan, 'Cranberry juice', 'Ginger ale', 'Ice', nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '4 oz ', '2 oz ', 'Add ', ' ', ' ', ' ', ' ', ' ']"
397,1539,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Cranberry Juice', 'Champagne', nan, nan, nan, nan, nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '2 shots ', 'Top up with', '\r\n', '\r\n', '\r\n', '\r\n', nan, nan]"
398,1540,,,,,,,,,,,"['Absolut Citron', nan, nan, nan, nan, nan, nan, 'Orange juice', 'Triple sec', 'Ginger ale', nan, nan, nan, nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '1 shot ', '1 shot ', 'Fill to top ', ' ', ' ', ' ', ' ', ' ']"
399,1541,,,,,,,,,,,"['Light rum', nan, nan, nan, nan, nan, nan, 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint', nan, nan, nan]","['1 1/2 oz ', ' ', ' ', nan, nan, nan, nan, '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ', ' ', ' ', ' ']"
400,1542,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Grenadine', 'Heavy cream', 'Milk', 'Egg White', nan, nan, nan, nan]","['2 shots ', nan, nan, nan, nan, nan, nan, '1/2 shot ', '1/2 shot ', '1/2 shot ', '1/2 Fresh', '\r\n', '\r\n', nan, nan]"
401,1543,,,,,,,,,,,"['Dark rum', nan, nan, nan, nan, nan, nan, 'Lemon juice', 'Grenadine', nan, nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1 tsp ', ' ', ' ', ' ', ' ', ' ', nan]"
402,1544,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Cognac', 'Creme de Cassis', 'Fresh Lemon Juice', nan, nan, nan, nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '1 shot ', '1 shot ', '1/8 shot ', nan, nan, nan, nan, nan]"
403,1545,,,,,,,,,,,"['Rum', nan, nan, nan, nan, nan, nan, 'Vodka', 'Tequila', 'Triple sec', 'Fruit', 'Ice', 'Salt', 'Fruit juice', nan]","['1 part ', ' ', ' ', ' ', nan, nan, nan, '1 part ', '1 part ', '1/2 part ', '\n', '\n', '1-3 pint ', ' ', ' ']"
404,1546,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Lemonade', 'Water', 'Sugar', nan, nan, nan, nan, nan]","['1/2 ', nan, nan, nan, nan, nan, nan, '1/2 can ', '1/2 ', '10 tsp ', ' ', ' ', ' ', ' ', ' ']"
405,1547,,,,,,,,,,,"['Sweet Vermouth', nan, nan, nan, nan, nan, nan, 'Dry Vermouth', 'Soda Water', nan, nan, nan, nan, nan, nan]","['2 shots ', nan, nan, nan, nan, nan, nan, '1 shot ', 'Top up with\r\n', '\r\n', '\r\n', '\r\n', '\r\n', nan, nan]"
406,1548,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Vermouth', nan, nan, nan, nan, nan, nan, nan]","['1 1/2 shot ', nan, nan, nan, nan, nan, nan, '1 1/2 shot ', '\r\n', '\r\n', '\r\n', '\r\n', '\r\n', nan, nan]"
407,1549,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Grenadine', 'Orange juice', nan, nan, nan, nan, nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '1 tblsp ', 'Fill with ', ' ', ' ', ' ', ' ', ' ', nan]"
408,1550,,,,,,,,,,,"['Rum', nan, nan, nan, nan, nan, nan, 'Dry Vermouth', 'Cognac', 'Gin', 'Fresh Lime Juice', 'Sugar Syrup', 'Water', nan, nan]","['1 shot ', nan, nan, nan, nan, nan, nan, '1/2 shot ', '1/2 shot ', '1/2 shot ', '1/4 shot', '1/4 shot', '1/2 shot ', nan, nan]"
409,1551,,,,,,,,,,,"['Sweet Vermouth', nan, nan, nan, nan, nan, nan, 'Sherry', 'Orange bitters', nan, nan, nan, nan, nan, nan]","['3/4 oz ', nan, nan, nan, nan, nan, nan, '1 1/2 oz dry ', '1 dash ', ' ', ' ', ' ', ' ', ' ', nan]"
410,1552,,,,,,,,,,,"['Strawberry schnapps', nan, nan, nan, nan, nan, nan, 'Orange juice', 'Cranberry juice', 'Club soda', nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '2 oz ', '2 oz ', '\n', '\n', '\n', '\n', '\n', '\n']"
411,1553,,,,,,,,,,,"['Scotch', nan, nan, nan, nan, nan, nan, 'Sweet Vermouth', 'Dry Vermouth', 'Orange bitters', nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1 oz ', '2 dashes ', ' ', ' ', ' ', ' ', ' ']"
412,1554,,,,,,,,,,,"['Apricot brandy', nan, nan, nan, nan, nan, nan, 'Triple sec', 'Lime', 'Lime', nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', 'Juice of 1 ', '1 ', ' ', ' ', ' ', ' ', ' ']"
413,1555,,,,,,,,,,,"['Peppermint schnapps', nan, nan, nan, nan, nan, nan, 'Kahlua', ""Bailey's irish cream"", nan, nan, nan, nan, nan, nan]","['\n', nan, nan, nan, nan, nan, nan, '\n', '\n', '\n', '\n', '\n', '\n', nan, nan]"
414,1556,,,,,,,,,,,"['Triple sec', nan, nan, nan, nan, nan, nan, 'Apricot brandy', 'Lemon juice', nan, nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1/2 tsp ', ' ', ' ', ' ', ' ', ' ', nan]"
415,1557,,,,,,,,,,,"['Vodka', nan, nan, nan, nan, nan, nan, 'Creme de Banane', 'Orange juice', nan, nan, nan, nan, nan, nan]","['2 cl ', nan, nan, nan, nan, nan, nan, '1 cl ', '\n', '\n', '\n', '\n', '\n', '\n', nan]"
416,1558,,,,,,,,,,,"['Grenadine', nan, nan, nan, nan, nan, nan, 'Orange juice', 'Pineapple juice', nan, nan, nan, nan, nan, nan]","['1 part ', nan, nan, nan, nan, nan, nan, '4 parts ', '4 parts ', ' ', ' ', ' ', ' ', ' ', nan]"
417,1559,,,,,,,,,,,"['Kahlua', nan, nan, nan, nan, nan, nan, ""Bailey's irish cream"", 'Frangelico', 'Coffee', 'Cream', nan, nan, nan, nan]","['1 cl ', '\n', nan, nan, nan, nan, nan, '1 cl ', '1 1/2 ', '4 cl hot ', '\n', '\n', '\n', '\n', '\n']"
418,1560,,,,,,,,,,,"['Southern Comfort', nan, nan, nan, nan, nan, nan, 'Amaretto', 'Sloe gin', 'Lemon juice', nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1/2 oz ', '1 dash ', ' ', ' ', ' ', ' ', ' ']"
419,1561,,,,,,,,,,,"['Orange bitters', nan, nan, nan, nan, nan, nan, 'Gin', 'Yellow Chartreuse', 'Lemon peel', nan, nan, nan, nan, nan]","['2 dashes ', nan, nan, nan, nan, nan, nan, '1 1/2 oz ', '3/4 oz ', 'Twist of ', ' ', ' ', ' ', ' ', ' ']"
420,1562,,,,,,,,,,,"['Gin', nan, nan, nan, nan, nan, nan, 'Creme de Cacao', 'Light cream', 'Nutmeg', nan, nan, nan, nan, nan]","['1/2 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz white ', '2 oz ', nan, nan, nan, nan, nan, nan]"
