,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
43,Adam,,,,,"In A Shaker Half-filled With Ice Cubes, Combine All Of The Ingredients. Shake Well. Strain Into A Cocktail Glass.",,
44,Adam & Eve,,,,,Shake Together All The Ingredients And Strain Into A Cold Glass.,,
45,Adam Bomb,,Punch / Party Drink,Margarita/coupette Glass,,"Add Ice To Blender (or To Glass If Prefer On The Rocks) Then Fruit, And Fruite Juice Depending On Personal Prefference Then Add The Rum, Vodka, Tequila, And Triple Sec. Blend Till Smooth, Rim Glass With Sugar Or Salt And Pour Mixture In. Garnish With Lemon Or Lime Slice.",Rum,1 Part
46,Adam Sunrise,,,,,"Fill Blender Up With Ice. Fill Half With Bartons Vodka. Put 10 Tsp Of Sugar, Add 1/2 Can Lemonade Concentrate, Fill To Top With Water. Blend For 60 Seconds.",,1/2
47,Addington,,,,,Mix Both The Vermouth's In A Shaker And Strain Into A Cold Glass. Top Up With A Squirt Of Soda Water.,Sweet Vermouth,
48,Addison,,,,,,,1 1/2 Shot
49,Addison Special,,,,,Combine Ingredients In The Order Listed Into A Shaker. Fill Half Full With Ice And Shake Well. Strain Into Glass With Ice And Garnish With A Cherry And Orange Wedge.,,
50,Adios Amigos Cocktail,,,,,,,
51,Adonis Cocktail,,,,,"Stir All Ingredients With Ice, Strain Contents Into A Cocktail Glass, And Serve.",,
52,Affair,,,,,"Pour Schnapps, Orange Juice, And Cranberry Juice Over Ice In A Highball Glass. Top With Club Soda And Serve.",Strawberry Schnapps,
53,Affinity,,,,,"In A Mixing Glass Half-filled With Ice Cubes, Combine All Of The Ingredients. Stir Well. Strain Into A Cocktail Glass.",Scotch,
54,After Dinner Cocktail,,,,,Shake All Ingredients (except Lime Wedge) With Ice And Strain Into A Cocktail Glass. Add The Wedge Of Lime And Serve.,Apricot Brandy,
55,After Five,,,,,"1. Pour Kahlua Into Shot Glass To About 1/2 Full. 2. Using A Spoon(inverted), Slowly Pour In The Peppermint Schnapps Until Glass Is About 3/4 Full. Done Correctly, The Schnapps Will Flow Under The Kahlua For A Clear Layer. 3. Again Using A Spoon, But This Time Right Side Up, Slowly Top Off The Glass With A Layer Of Bailey's. Be Careful To Place The Spoon Right At The Top Of The Kahlua Layer And To Raise It As The Glass Fills Up. Done Correctly, This Will Provide A Layer Of Bailey's Floating Over The Kahlua. 4. Toss It Down All At Once For Something Like A Peppermint Pattie, With A Bang!!! Note: Best If All Ingredients Are Chilled",Peppermint Schnapps,
56,After Supper Cocktail,,,,,"Shake All Ingredients With Ice, Strain Into A Cocktail Glass, And Serve.",Triple Sec,
57,After Sex,,,,,Pour The Vodka And Creme Over Some Ice Cubes In A Tall Glass And Fill Up With Juice. To Make It Beuty Full Make The Top Of The Glass With A Grenadine And Sugar,,2 Cl
58,Afterglow,Non Alcoholic,,,,Mix. Serve Over Ice.,Grenadine,
59,Afternoon,,Coffee / Tea,,,"Build Into A Suiting Glass, With No Ice. Cream On Top If Wanted. Served Directly.",,1 Cl
60,Alabama Slammer,,,,,"Pour All Ingredients (except For Lemon Juice) Over Ice In A Highball Glass. Stir, Add A Dash Of Lemon Juice, And Serve.",Southern Comfort,
61,Alaska Cocktail,,,,,"Stir All Ingredients With Ice, Strain Contents Into A Cocktail Glass. Drop In A Twist Of Lemon And Serve.",Orange Bitters,2 Dashes
62,Alexander,,,,Unforgettables,Shake All Ingredients With Ice And Strain Contents Into A Cocktail Glass. Sprinkle Nutmeg On Top And Serve.,,
63,Alfie Cocktail,,,,,"Combine And Shake All Ingredients With Ice, Strain Into A Cocktail Glass, And Serve.",Lemon Vodka,
64,Algonquin,,,,,"Combine And Shake All Ingredients With Ice, Strain Contents Into A Cocktail Glass, And Serve.",Blended Whiskey,
65,Alice Cocktail,,,,,"Shake Well, Strain Into A Large Cocktail Glass.",,
66,Alice In Wonderland,,,,,Just Mix The Three Ingredients One To One To One,,
67,Allegheny,,,,,Shake All Ingredients (except Lemon Peel) With Ice And Strain Into A Cocktail Glass. Top With The Twist Of Lemon Peel And Serve.,Dry Vermouth,
68,Allies Cocktail,,,,,,,
69,Almeria,,,,,,,
70,Almond Chocolate Coffee,,,Coffee Mug,,Pour In Order Into Coffee Cup. Top With Whipped Creme And Chocolate Shcvings.,,
71,Almond Joy,,,,,,,
72,Aloha Fruit Punch,,,,,"Add 1/4 Cup Water To Ginger Root. Boil 3 Minutes. Strain. Add The Liquid To The Guava, Lemon And Pineapple Juices. Make A Syrup Of Sugar And Remaining Water. Cool. Combine With Juices And Pineapple. Chill Throroughly.",Water,3/4 Cup
73,Amaretto And Cream,,,,,"Shake Well With Cracked Ice, Strain Contents Into A Cocktail Glass, And Serve.",,
74,Amaretto Liqueur,,,,,"Combine Sugar And 3/4 Cup Water In A Small Saucepan. Bring To A Boil, Stirring Constantly. Reduce Heat And Simmer Until All Sugar Is Dissolved. Remove From Heat And Cool. In An Aging Container, Combine Apricot Halves, Almond Extract, Grain Alcohol With 1/2 Cup Water, And Brandy. Stir In Cooled Sugar Syrup Mixture. Cap And Let Age For 2 Days. Remove Apricot Halves. (save Apricot Halves, Can Be Used For Cooking). Add Food Coloring And Glycerine. Stir, Recap And Continue Aging For 1 To 2 Months. Re-bottle As Desired. Liqueur Is Ready To Serve But Will Continue To Improve With Additional Aging.",Sugar,1 Cup
75,Amaretto Mist,,,,,"Pour Amaretto In An Old-fashioned Glass Over Crushed Ice. Add The Wedge Of Lime And Serve. (a Wedge Of Lemon May Be Substituted For Lime, If Preferred.)",,
76,Amaretto Rose,,,,,Pour Amaretto And Lime Juice Over Ice In A Collins Glass. Fill With Club Soda And Serve.,,
77,Amaretto Shake,,,,,Combine All Ingredients In A Blender And Blend At High Speed Until Smooth. Serve In Chilled Glass Garnished With Bittersweet Chocolate Shavings.,Chocolate Ice-cream,2 Scoops
78,Amaretto Sour,,,,,Shake And Strain. Garnish With A Cherry And An Orange Slice.,,
79,Amaretto Stinger,,,,,"Shake Ingredients Well With Cracked Ice, Strain Into A Cocktail Glass, And Serve.",,
80,Amaretto Stone Sour,,,,,Shake And Serve Over Ice,,
81,Amaretto Stone Sour #3,,,,,"Shake Sour Mix, Tequila And Amaretto With Ice. Strain Into Highball Glass. Add A Splash Of Oj. Garnish With Orange Slice And A Cherry.",Sour Mix,
82,Amaretto Sunrise,,,,,Mix Together The Amaretto And Orange Juice. Pour Into Glass And Then Add The Grenadine Untill You See The Sunrise.,,
83,Amaretto Sunset,,,,,"Shake Ingredients In Bartender's Mixer Quickly, Just 5 Shakes. Strain Out Ice, Serve In Glass Immediately With A Slice Of Orange.",,1/2 Jigger
84,Amaretto Sweet & Sour,,,,,"Fill The Blender With 3/4 Ice. Add Sweet & Sour Mix To The Top Of The Ice. Add About 1"" Of Pineapple Juice, 1/2"" Of Melon Liqeur, And 1/2 To 1/4"" Of Amaretto. Then Blend The Mix Until It Is Of Margaritta Consistency Or Thinner.",,
85,Amaretto Tea,,,Pousse Cafe Glass,,"Pour Hot Tea Into A Pousse-cafe Glass, Using A Spoon In Glass To Prevent Cracking. Add Amaretto, But Do Not Stir. Top With Chilled Whipped Cream And Serve.",Tea,6 Oz Hot
86,Americano,,,,,"Pour The Campari And Vermouth Over Ice Into Glass, Add A Splash Of Soda Water And Garnish With Half Orange Slice.",Campari,
87,Angel Face,,,,,Shake All Ingredients With Ice And Strain Contents Into A Cocktail Glass.,,
88,Angelica Liqueur,,,,,"Combine All Herbs, Nuts And Spices With Vodka In A 1 Quart Or Larger Aging Container. Cap Tightly And Shake Daily For 2 Weeks. Strain Through A Fine Muslin Cloth Or Coffee Filter, Discarding Solids. Clean Out Aging Container. Place Liquid Back In Container. Place Sugar And Water In Saucepan And Stir To Combine Over Medium Heat. When Sugar Is Completely Dissolved, Set Aside And Let Cool. When Cool Combine With Food Coloring And Add To Liqueur Liquid. Cap And Allow To Age And Mellow In A Cool, Dark Place For One Month.",Angelica Root,3 Tblsp Chopped
89,Apello,,,,,Stirr. Grnish With Maraschino Cherry.,Orange Juice,4 Cl
90,Apple Berry Smoothie,,,,,Throw Everything Into A Blender And Liquify.,Berries,
91,Apple Cider Punch #1,Optional Alcohol,,,,"If You Use The Whole All Spice And Cloves, Tie Them In Cheesecloth. Heat The Mixture. Stir Occasionally. If You Want An Alcoholic Drink, Rum Would Be Nice.",Apple Cider,4 Qt
92,Apple Grande,,,Punch Bowl,,Chill Both Ingredients!! Mix In A Tumbler And Enjoy!,Tequila,3 Oz
93,Apple Karate,,,,,"Place All Ingredients In The Blender Jar - Cover And Whiz On Medium Speed Until Well Blended. Pour In One Tall, 2 Medium Or 3 Small Glasses And Drink Up.",Apple Juice,2 Cups
94,Apple Pie With A Crust,,,,,Just Mix The Two Liquids And Sprinkle In The Cinnamon. Serve Either Cold Or Heated.,,3 Parts
95,Apple Slammer,,,,,"Pour Into A Shot Glass And Present To Consumer, They Are Expected To Cover The Top Of The Shotglass With Thier Palm, Raise The Glass, Slam It On The Bar And The Swallow Quickly.",7-up,
96,Applecar,,,,,,,
97,Applejack,,,,,"Add All Ingredients Into Mixing Glass, Chill And Strain Into Cocktail Glass",,
98,Apricot Lady,,,,,"In A Shaker Half-filled With Ice Cubes, Combine The Rum, Apricot Brandy, Triple Sec, Lemon Juice, And Egg White. Shake Well. Strain Into An Old-fashioned Glass Almost Filled With Ice Cubes. Garnish With The Orange Slice.",,
99,Apricot Punch,,,,,Pour All Ingrediants Into A Large Punch Bowl. Add Ice And 4 Oranges That Are Peeled And Divided.,,1 Qt
100,Archbishop,,,,,"In An Old-fashioned Glass Almost Filled With Ice Cubes, Combine All Of The Ingredients. Stir Well.",,
101,Arctic Fish,,,Beer Pilsner,,"Fill Glass With Ice And Fish, Add Vodka, Grape Soda And Orange Juice. Do Not Stir!!!!! Serve Well Chilled.",,
102,Arctic Mouthwash,,,,,Blend All Ingredients In A Blender On High Until Ice Is Finely Crushed. It Should Be Of A Slushy Consistency. Pour Immediately And Serve.,Maui,5 Oz Blue
103,Arise My Love,,,,,Put Creme De Menthe Into A Champagne Flute. Fill With Chilled Champagne And Serve.,Champagne,Chilled
104,Arizona Antifreeze,,,,,Pour All Ingredients Into Shot Glass And Slam !!!!,,
105,Arizona Stingers,,,Hurricane Glass,,Place Ice Cubes In The Hurricane Glass . Add The 2 Heaping Shots Of Absolute Vodka (note: You Can Add As Many Shots Of Absolute As You Want!) Fill The Rest Of Glass With The Arizona Icetea With Lemon. Stir To Mix Using A Spoon. Drink Up And Enjoy!!!!!!!,,
106,Arizona Twister,,,,,"Just Mix In The Shots Of Rum, Vodka, And Tequila. Add Splashes Of The Three Juices, Heavy On The Pineapple. Top Off With Grenadine. Crushed Ice Should Already Be In Glass. Top Off The Glass With A Pineapple Wedge.",,
107,Army Special,,,,,"Pour Vodka, Gin And Lime Cordial Into Glass, And Top Up With Crushed Ice. Wait For Ice To Melt Slightly And Sip Without A Straw.",,30 Ml
108,Arthur Tompkins,,,Whiskey Sour Glass,,"In A Shaker Half-filled With Ice Cubes, Combine The Gin, Grand Marnier, And Lemon Juice. Shake Well. Strain Into A Sour Glass And Garnish With The Lemon Twist.",,
109,Artillery,,,,,"Stir All Ingredients With Ice, Strain Into A Cocktail Glass, And Serve.",,1 1/2 Tsp
110,Artillery Punch,,,,,"Combine All The Ingredients In A Large Punch Bowl With A Block Of Ice. If Found Too Dry, Sugar Syrup May Be Added. Decorate With Twists Of Lemon Peel.",,1 Quart Black
111,Atlantic Sun,,,,,"Shake All The Ingredients, Top The Drink With Soda. Garnish With A Slice Of Orange.",,2 Cl Smirnoff
112,Atomic Lokade,,,,,"In A Shaker, Place Lemonade, Vodka, Blue Curacao, And Triple Sec Together. Shake With Ice And Strain Into Glass. Add Sugar To Taste",Lemonade,5 Oz
113,Auburn Headbanger,,,,,Mix In Spread Glass Over Ice. Strain And Pour In Shot Glass. Sit Down Before Shotting. Enjoy!!,Jägermeister,
114,Autodafé,,,,,Mix And Fill Up With Soda Water. Drunk By Finns On A Sunny Day Any Time Of The Year And Day.,,
115,Avalanche,,,,,"Mix In Highball Glass Over Ice, Shake Well.",Crown Royal,
