,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
322,Just A Moonmint,,,,,,,
323,Kamikaze,,,,,"Shake All Ingredients Together With Ice. Strain Into Glass, Garnish And Serve.",,
324,Karsk,,,,,"Put A Copper Coin In A Coffe-cup And Fill Up With Coffee Until You No Longer See The Coin, Then Add Alcohol Until You See The Coin. Norwegian Speciality.",,
325,Kentucky B And B,,,Brandy Snifter,,Pour The Bourbon And Benedictine Into A Brandy Snifter.,,
326,Kentucky Colonel,,,,,In A Shaker Half-filled With Ice Cubes Combine The Courbon And Benedictine. Shake And Strain Into A Cocktail Glass. Garnish With The Lemon Twist.,,
327,Kill The Cold Smoothie,,,,,Juice Ginger And Lemon And Add It To Hot Water. You May Add Cardomom.,Ginger,1 Inch
328,Kioki Coffee,,,,,Stir. Add Whipped Cream To The Top.,,
329,Kir,,,,,"Add The Crème De Cassis To The Bottom Of The Glass, Then Top Up With Wine.",Creme De Cassis,
330,Kir Royale,,,,,"Pour Creme De Cassis In Glass, Gently Pour Champagne On Top",,
331,Kiss Me Quick,,,,,Mix In The Glass,Cranberry Vodka,
332,Kiwi Lemon,,,,,Mix In Highball Glass. Stirr. Garnish With Slice Of Kiwi.,Kiwi Liqueur,
333,Kiwi Papaya Smoothie,,,,,,Kiwi,3
334,Kool First Aid,,,,,"Add Kool Aid To A Double Shot Glass, And Top With Rum. Slam And Shoot.",,2 Oz Light
335,Kool-aid Shot,,,,,Pour Into A Large Glass With Ice And Stir. Add A Little Cranberry Juice To Taste.,,
336,Kool-aid Slammer,,,,,"Fill Half The Shot Glass With The Kool-aid First. Then Put A Paper Towel Over The Top Of The Glass And Slowly Pour In The Vodka. If You Do It Right, You Should Be Able To See That The Two Liquids Are Separated, With The Vodka On Top. Now Slam It! The Last Thing You'll Taste Is The Kool-aid.",Kool-aid,1/2 Oz Grape
337,Kurant Tea,,,,,"Pour Absolut Kurant Into A Comfortably Big Tea-cup. Add The Not Too Hot(!) Apple Tea And, If You Like, Some Sugar. Enjoy!",,
338,Lady Love Fizz,,,,,"Shake All Ingredients (except Carbonated Water) With Ice And Strain Into A Cocktail Glass Over Two Ice Cubes. Fill With Carbonated Water, Stir, And Serve.",,
339,Lassi - A South Indian Drink,,,,,"Blend In A Blender For 3 Seconds. Lassi Is One Of The Easiest Things To Make, And There Are Many Ways Of Making It. Basically, It Is Buttermilk (yoghurt Whisked With Water), And You Can Choose Almost Any Consistency That You Like, From The Thinnest To The Thickest. Serve Cold.",,1/2 Cup Plain
340,Lassi - Mango,,,,,Put It All In A Blender And Pour Over Crushed Ice. You Can Also Use Other Fruits Like Strawberries And Bananas.,Mango,
341,Lassi - Sweet,,,,,Put All Ingredients Into A Blender And Blend Until Nice And Frothy. Serve Chilled.,,
342,Lassi Khara,,,,,Blend (frappe) In Blender Until Frothy. Add Torn Curry Leaves And Serve Cold.,,
343,Lassi Raita,,,,,"Blend The Yoghurt And Ice Cubes Together, Until The Yoghurt Becomes More Liquid. Add Sugar To Taste. The Lemon/lime Is Optional But It Gives It A Slightly Tart Taste. Dash Of Salt. Raita Is Also Good For The Summer. Instead Of Having A Traditional Salad You Can Make Raita Instead.",,
344,Lemon Drop,,,,,Shake And Strain Into A Chilled Cocktail Glass Rimmed With Sugar.,,
345,Lemon Shot,,,,,"Mix Galliano And Absolut Citron In A Shot Glass, Lay Lemon Wedge Sprinkled With Sugar Over Glass And Pour A Rum Over Wedge And Glass. Light Rum With A Lighter And Let Burn For A Second. Do Shot Quickly And Suck On Lemon. If It Is Done Correctly, This Will Taste Like A Shot Of Sweet Lemonade.",,
346,Lemouroudji,,,,,"Juice The Lemons. Peel And Grate The Ginger. Place The Grated Ginger And A Liberal Dash Of The Cayenne Pepper Into A Piece Of Cheesecloth, And Tie It Into A Knot. Let Soak In The Water. After 15 Minutes Or So, Add The Sugar, And The Lemon Juice. Chill, And Serve.",,2 Pieces
347,Limeade,,,,,"In A Large Glass, Put The Lime Juice And Sugar, And Stir Well. Add Cold Seltzer Water To Fill. Put The Lime Peels In The Glass. Drink. Repeat Until Limes Or Soda Run Out.",,Juice Of 1
348,Limona Corona,,,,,"Open The Corona. Fill The Empty Space In The Neck In The Bottle With The Rum. The Bottle Should Be Filled To The Top. Plug The Bottle With Your Thumb Or The Palm Of Your Hand. Turn The Bottle Upside-down So The Rum And Beer Mix. Turn The Bottle Rightside-up, Unplug, And Drink.",,
349,Loch Lomond,,,,,"In A Mixing Glass Half-filled With Ice Cubes, Combine The Scotch, Drambuie, And Vermouth. Stir Well. Strain Into A Cocktail Glass. Garnish With The Lemon Twist.",,
350,London Town,,,,,,,
351,Lone Tree Cocktail,,,,,"Stir Ingredients With Ice, Strain Into A Cocktail Glass, And Serve.",,
352,Lone Tree Cooler,,,,,"Stir Powdered Sugar And 2 Oz. Carbonated Water In A Collins Glass. Fill Glass With Ice, Add Gin And Vermouth, And Stir. Fill With Carbonated Water And Stir Again. Add The Twist Of Lemon Peel And The Orange Spiral So That The End Dangles Over Rim Of Glass.",Carbonated Water,
353,Long Island Iced Tea,,,,,Mix All Contents In A Highball Glass And Sitr Gently. Add Dash Of Coca-cola For The Coloring And Garnish With Lemon Or Lime Twist.,,
354,Long Island Tea,,,,,Combine All Ingredients (except Cola) And Pour Over Ice In A Highball Glass. Add The Splash Of Cola For Color. Decorate With A Slice Of Lemon And Serve.,,
355,Long Vodka,,,,,"Shake A Tall Glass With Ice Cubes And Angostura, Coating The Inside Of The Glass. Por The Vodka Onto This, Add 1 Slice Of Lime And Squeeze Juice Out Of Remainder, Mix With Tonic, Stir And Voila You Have A Long Vodka",,
356,Lord And Lady,,,,,Pour The Rum And Tia Maria Into An Old-fashioned Glass Almost Filled With Ice Cubes. Stir Well.,,
357,Lunch Box,,,,,Fill A Pint Glass Almost Full With Beer. Then Fill The Rest With Orange Juice (careful Not To Fill It To The Top). Then Take The Shot Of Amaretto And Drop It In.,Beer,3/4 Bottle
358,Mai Tai,,,,,Shake All Ingredients With Ice. Strain Into Glass. Garnish And Serve With Straw.,,
359,Malibu Twister,,,,,"Add Rum & Trister Then, Add Cranberry Jucie,stir",,
360,Mango Orange Smoothie,,,,,,,
361,Manhattan,,,,,"Stirred Over Ice, Strained Into A Chilled Glass, Garnished, And Served Up.",,
362,Margarita,,,,,"Rub The Rim Of The Glass With The Lime Slice To Make The Salt Stick To It. Take Care To Moisten Only The Outer Rim And Sprinkle The Salt On It. The Salt Should Present To The Lips Of The Imbiber And Never Mix Into The Cocktail. Shake The Other Ingredients With Ice, Then Carefully Pour Into The Glass.",,
363,Martinez Cocktail,,,,,Stir All Ingredients (except Cherry) With Ice And Strain Into A Cocktail Glass. Top With The Cherry And Serve.,,
364,Martini,,,,,"Straight: Pour All Ingredients Into Mixing Glass With Ice Cubes. Stir Well. Strain In Chilled Martini Cocktail Glass. Squeeze Oil From Lemon Peel Onto The Drink, Or Garnish With Olive.",,1 2/3 Oz
365,Mary Pickford,,,,,Shake And Strain Into A Chilled Large Cocktail Glass,,
366,Masala Chai,,,,,Bring 2 Cups Of Water To Boil. Add All The Ingredients And Boil Again For About 15 Seconds. Let Stand For A Minute. Warm Milk In A Pot. Filter Tea Into Cups. Add Milk And Sugar. That's It.,,
367,Melya,,,,,"Brew Espresso. In A Coffee Mug, Place 1 Teaspoon Of Unsweetened Powdered Cocoa, Then Cover A Teaspoon With Honey And Drizzle It Into The Cup. Stir While The Coffee Brews, This Is The Fun Part. The Cocoa Seems To Coat The Honey Without Mixing, So You Get A Dusty, Sticky Mass That Looks As Though It Will Never Mix. Then All At Once, Presto! It Looks Like Dark Chocolate Sauce. Pour Hot Espresso Over The Honey, Stirring To Dissolve. Serve With Cream.",Espresso,
368,Miami Vice,,,,,"First: Mix Pina Colada With 2.5 Oz. Of Rum With Ice(set Aside). Second: Mix Daiquiri With 2.5 Oz. Of Rum With Ice. Third: While Frozen, Add Pina Colda Mix Then Daiquiri Mix In Glass (making Sure They Do Not Get Mixed Together).",,5 Oz Bacardi
369,Microwave Hot Cocoa,,,,,"Combine Sugar, Cocoa, Salt And Hot Water In 1-quart Micro-proof Measuring Cup (or Coffee Mug). Microwave At High (100%) For 1 To 1 1/2 Minutes Or Until Boiling. Add Milk, Sitr And Microwave An Additonal 1 1/2 To 2 Minutes Or Until Hot. Stir In Vanilla, Blend Well.",,5 Tblsp
370,Midnight Cowboy,,,,,,,
371,Midnight Manx,,,,,"Fill A Mixer With Ice And Add Baileys, Kahlua, Goldshlager, And Cream. Shake For 5 Seconds And Strain Into A Double Rocks Glass Filled With Ice. Add Chilled Coffee Stir And Enjoy!",,
372,Midnight Mint,,,,,"If Available, Rim Cocktail (martini) Glass With Sugar Syrup Then Dip Into Chocolate Flakes Or Powder. Add Ingredients Into Shaker With Ice. Shake Well Then Strain Into Cocktail Glass.",,
373,Mimosa,,,,,"Ensure Both Ingredients Are Well Chilled, Then Mix Into The Glass. Serve Cold.",,
374,Mississippi Planters Punch,,,,,"Shake All Ingredients (except Carbonated Water) With Ice And Strain Into A Collins Glass Over Ice Cubes. Fill With Carbonated Water, Stir, And Serve.",,
375,Mocha-berry,,,,,"Pour 6 Oz. Of Coffee In A Mug Or Irish Coffee Cup. Add Coca Mix And Chambord, Mix Well And Top Off With Whipped Cream.",,
376,Mojito,,,,,Muddle Mint Leaves With Sugar And Lime Juice. Add A Splash Of Soda Water And Fill The Glass With Cracked Ice. Pour The Rum And Top With Soda Water. Garnish And Serve With Straw.,,
377,Mojito #3,,,,,"Put Mint With Lemon Juice In A Glas, Mash The Mint With A Spoon, Ice, Rum & Fill Up With Club Soda. Top It With Angostura.",Mint,1/2 Handful
378,Monkey Gland,,,,,"Shake Well Over Ice Cubes In A Shaker, Strain Into A Chilled Cocktail Glass.",,
379,Monkey Wrench,,,,,Pour All Of The Ingredients Into An Old-fashioned Glass Almost Filled With Ice Cubes. Stir Well.,,
380,Moranguito,,,,,"First You Put Rhe Absinthe, Then Put Tequila, Then Put The Granadine Syrup.",Absinthe,2/5
381,Moscow Mule,,,Copper Mug,,Combine Vodka And Ginger Beer In A Highball Glass Filled With Ice. Add Lime Juice. Stir Gently. Garnish.,,
382,Mother's Milk,,,,,"Shake Over Ice, Strain. Serves Two.",,
383,Mudslinger,,,,,Add All Contents To A Large Jug Or Punch Bowl. Stir Well!,,750 Ml
384,Mulled Wine,,,,,"Simmer 3 Cups Water With, Sugar, Cloves, Cinnamon Sticks, And Lemon Peel In A Stainless Steel Pot For 10 Minutes. Add Wine Heat To A ""coffee Temperature"" (do Not Boil) Then Add The Brandy.",,
385,National Aquarium,,,,,Pour All Ingredients Into A Shaker Of Ice. Shake Well. Serve On The Rocks.,,
386,Negroni,,,,,"Stir Into Glass Over Ice, Garnish And Serve.",,
387,New York Lemonade,,,,,Serve In A Chilled Cocktail Glass. Lemon And Sugar The Rim. Stir And Strain.,,
388,New York Sour,,,,,"Shake Blended Whiskey, Juice Of Lemon, And Powdered Sugar With Ice And Strain Into A Whiskey Sour Glass. Float Claret On Top. Decorate With The Half-slice Of Lemon And The Cherry And Serve.",,
389,Nuked Hot Chocolate,,,,,"Mix With A Bit Of Milk (1 Oz Or So) In Coffee Mug. Nuke Mug For About 30-50 Seconds. Stir Until The Heated Cocoa Dissolves. Fill Mug With Milk. Nuke For 1-2 Minutes, Depending On Wattage And Preferences As To Burnt Mouth Parts.",,
390,Nutty Irishman,,,,,Serve Over Ice,,
391,Old Fashioned,,,,,"Place Sugar Cube In Old Fashioned Glass And Saturate With Bitters, Add A Dash Of Plain Water. Muddle Until Dissolved. Fill The Glass With Ice Cubes And Add Whiskey. Garnish With Orange Twist, And A Cocktail Cherry.",,
392,Orange Crush,,,,,Add All Ingredients To Tumbler-pour As Shot,,
393,Orange Oasis,,,,,"Shake Brandy, Gin, And Orange Juice With Ice And Strain Into A Highball Glass Over Ice Cubes. Fill With Ginger Ale, Stir, And Serve.",Cherry Brandy,
394,Orange Push-up,,,,,Combine Liquors In A Blender. Add A Half Scoop Of Ice And Blend. Garnish With An Orange And Cherry Flag. So Good It Will Melt In Your Mouth!!!,,1.5 Oz
395,Orange Scented Hot Chocolate,,,,,"Combine All Ingredients In Heavy Medium Saucepan. Stir Over Low Heat Until Chocolate Melts. Increase Heat And Bring Just To A Boil, Stirring Often. Remove From Heat And Whisk Untily Frothy. Return To Heat And Bring To Boil Again. Remove From Heat, Whisk Until Frothy. Repeat Heating And Whisking Once Again. Discard Orange Peel. (can Be Prepared 2 Hours Ahead. Let Stand At Room Temperature. Before Serving, Bring Just To Boil, Remove From Heat And Whisk Until Frothy.) Pour Hot Chocolate Into Coffee Mugs. Makes 2 Servings.",,
396,Orange Whip,,,,,Pour Ingredients Over Ice And Stir.,,4 Oz
397,Orangeade,,,,,"Place Some Ice Cubes In A Large Tumbler Or Highball Glass, Add Lemon Juice, Orange Juice, Sugar Syrup, And Stir Well. Top Up With Cold Soda Water, Serve With A Drinking Straw.",Lemon Juice,
398,Oreo Mudslide,,,,,"Blend Vodka, Kahlua, Bailey's, Ice-cream And The Oreo Well In A Blender. Pour Into A Large Frosted Glass. Garnish With Whipped Cream And A Cherry.",,
399,Orgasm,,,,,,,1/2 Oz White
400,Owen's Grandmother's Revenge,,,,,Add Ingredients And Mix In Blender.,,12 Oz
401,Paradise,,,,,Shake Together Over Ice. Strain Into Cocktail Glass And Serve Chilled.,,7 Parts
402,Pina Colada,,,,,"Mix With Crushed Ice In Blender Until Smooth. Pour Into Chilled Glass, Garnish And Serve.",,
403,Pineapple Gingerale Smoothie,,,,,,,1/4 Inch
404,Pink Gin,,,,,"Pour The Bitters Into A Wine Glass. Swirl The Glass To Coat The Inside With The Bitters, Shake Out The Excess. Pour The Gin Into The Glass. Do Not Add Ice.",,
405,Pink Lady,,,,,,,
406,Pink Panty Pulldowns,,,,,Shake Well,Sprite,
407,Pink Penocha,,,,,Mix All Ingredients Into Bowl Keep Iced Stir Frequently,,
408,Pisco Sour,,,,,"Vigorously Shake And Strain Contents In A Cocktail Shaker With Ice Cubes, Then Pour Into Glass And Garnish With Bitters.[1]",,
409,Planter's Punch,,,,,"Pour All Ingredients, Except The Bitters, Into Shaker Filled With Ice. Shake Well. Pour Into Large Glass, Filled With Ice. Add Angostura Bitters, ""on Top"". Garnish With Cocktail Cherry And Pineapple.",,
410,Popped Cherry,,,,,Served Over Ice In A Tall Glass With A Popped Cherry (can Add More Popped Cherries If In The Mood)!,,
411,Poppy Cocktail,,,,,,,
412,Port And Starboard,,,,,"Pour Carefully Into A Pousse-cafe Glass, So That Creme De Menthe Floats On Grenadine. Serve Without Mixing.",,1 Tblsp
413,Port Wine Cocktail,,,,,,Port,
414,Port Wine Flip,,,,,Shake All Ingredients (except Nutmeg) With Ice And Strain Into A Whiskey Sour Glass. Sprinkle Nutmeg On Top And Serve.,,
415,Porto Flip,,,,,"Shake Ingredients Together In A Mixer With Ice. Strain Into Glass, Garnish And Serve.",,
416,Pysch Vitamin Light,,,,,Shake With Ice.,,
417,Quaker's Cocktail,,,,,,,
418,Quarter Deck Cocktail,,,,,,,1 1/2
419,Queen Bee,,,,,,Coffee Brandy,
420,Queen Charlotte,,,,,"Pour Red Wine And Grenadine Into A Collins Glass Over Ice Cubes. Fill With Lemon-lime Soda, Stir, And Serve.",,
421,Queen Elizabeth,,,,,,,
422,Quentin,,,,,"In A Shaker Half-filled With Ice Cubes, Combine The Rum, Kahlua, And Cream. Shake Well. Strain Into A Cocktail Glass And Garnish With The Nutmeg.",,
423,Quick F**k,,,,,"In A Shot Glass Add 1/3 Kahlua First. Then 1/3 Miduri, Topping It Off With A 1/3 Bailey's Irish Cream",,
424,Quick-sand,,,,,"Simply Add The Orange Juice, Quite A Quick Pour In Order To Mix The Sambucca With The Orange Juice. The Juice Must Have Fruit Pulp!",Black Sambuca,
425,Radioactive Long Island Iced Tea,,,,,Pour All Ingredients Over Ice In A Very Tall Glass. Sip Cautiously.,,
426,Radler,,,,,"Pour Beer Into Large Mug, Slowly Add The 7-up (or Sprite).",,
427,Rail Splitter,,,,,Mix Sugar Syrup With Lemon Juice In A Tall Glass. Fill Up With Ginger Ale.,Sugar Syrup,
428,Raspberry Cooler,,,,,Pour The Raspberry Vodka And Soda Into A Highball Glass Almost Filled With Ice Cubes. Stir Well.,Raspberry Vodka,
429,Red Snapper,,,,,"One Shot Each, Shake N Shoot",,
430,Rose,,,,,"Shake Together In A Cocktail Shaker, Then Strain Into Chilled Glass. Garnish And Serve.",,
431,Royal Bitch,,,,,Into A Shot Glass Layer The Crown Royal On Top Of The Frangelico.,Frangelico,
432,Royal Fizz,,,,,Shake All Ingredients (except Cola) With Ice And Strain Into A Chilled Collins Glass. Fill With Cola And Serve.,,
433,Royal Flush,,,,,Pour All The Ingredients Into Tumbler Over Ice. Strain Into Glass.,,
434,Royal Gin Fizz,,,,,,,
435,Ruby Tuesday,,,,,Pour Gin And Cranberry Into A Highball Filled With Ice Cubes. Add Grenadine And Stir.,,
436,Rum Cobbler,,,,,"In An Old-fashioned Glass, Dissolve The Sugar In The Club Soda. Add Crushed Ice Until The Glass Is Almost Full. Add The Rum. Stir Well. Garnish With The Cherry And The Orange And Lemon Slices.",,
437,Rum Cooler,,,,,Pour The Rum And Soda Into A Collins Glass Almost Filled With Ice Cubes. Stir Well And Garnish With The Lemon Wedge.,,2 Oz Light Or Dark
438,Rum Milk Punch,,,,,Shake All Ingredients (except Nutmeg) With Ice And Strain Into A Collins Glass. Sprinkle Nutmeg On Top And Serve.,,
439,Rum Old-fashioned,,,,,"Stir Powdered Sugar, Water, And Bitters In An Old-fashioned Glass. When Sugar Has Dissolved Add Ice Cubes And Light Rum. Add The Twist Of Lime Peel, Float 151 Proof Rum On Top, And Serve.",,
440,Rum Punch,,,,,Mix All Ingredients In A Punch Bowl And Serve.,,Mikey Bottle
441,Rum Runner,,,,,Mix All Ingredients In Glass & Add Ice.,,
442,Rum Screwdriver,,,,,"Pour Rum Into A Highball Glass Over Ice Cubes. Add Orange Juice, Stir, And Serve.",,
443,Rum Sour,,,,,"In A Shaker Half-filled With Ice Cubes, Combine The Rum, Lemon Juice, And Sugar. Shake Well. Strain Into A Sour Glass And Garnish With The Orange Slice And The Cherry.",,
444,Rum Toddy,,,,,Dissolve Powdered Sugar In Water In An Old-fashioned Glass. Add Rum And One Ice Cube And Stir. Add The Twist Of Lemon Peel And Serve.,,
445,Russian Spring Punch,,,,,"Pour The Ingredients Into An Highball Glass, Top With Sparkling Wine.",,2.5 Cl
446,Rusty Nail,,,,,Pour The Scotch And Drambuie Into An Old-fashioned Glass Almost Filled With Ice Cubes. Stir Well. Garnish With The Lemon Twist.,,
447,Salty Dog,,,,,"Pour All Ingredients Over Ice Cubes In A Highball Glass. Stir Well And Serve. (vodka May Be Substituted For Gin, If Preferred.)",Grapefruit Juice,
448,San Francisco,,,,,"Take A Tall Glass And Put In A Few Ice Cubes, Fill The Vodka Over It And Fill With Juice Then The ""creme"", To End Fill In The Grenadine But Very Carefully At The Side Of The Glass So It Will Lay Down In The Bottom. Garnish With Orange And Strawberry.",,
449,Sangria #1,,,,,Mix All Together In A Pitcher And Refrigerate. Add Cloves And Cinnamon Sticks To Taste. Serve In Wine Glasses.,,
450,Sangria - The World's Best,,,,,"Mix Wine, Sugar And Fruit, And Let Sit In The Fridge For 18-24 Hours. The Mixture Will Have A Somewhat Syrupy Consistency. Before Serving Stir In Brandy And Cut The Mixture With Soda Water Until It Have A Thinner, More Wine Like Consistency. Serve From A Pitcher In Wine Glasses.",,1 1/2 L
451,Sazerac,,,,,"Rinse A Chilled Old-fashioned Glass With The Absinthe, Add Crushed Ice, And Set It Aside. Stir The Remaining Ingredients Over Ice And Set It Aside. Discard The Ice And Any Excess Absinthe From The Prepared Glass, And Strain The Drink Into The Glass. Add The Lemon Peel For Garnish.",Ricard,1 Tsp
452,Scooter,,,,,"Shake All Ingredients Well With Cracked Ice, Strain Into A Cocktail Glass, And Serve.",,
453,Scotch Cobbler,,,,,"Pour Scotch, Brandy, And Curacao Over Ice In An Old-fashioned Glass. Add The Orange Slice, Top With The Mint Sprig, And Serve.",,
454,Scotch Sour,,,,,"Shake Scotch, Juice Of Lime, And Powdered Sugar With Ice And Strain Into A Whiskey Sour Glass. Decorate With 1/2 Slice Lemon, Top With The Cherry, And Serve.",,
455,Scottish Highland Liqueur,,,,,"Combine All Ingreds In Aging Container. Cover Tightly And Shake Gently Several Times During The First 24 Hrs. After 24 Hrs, Remove The Lemon Zest. Cover Again And Let Stand In A Cool, Dark Place For 2 Weeks, Shaking Gently Every Other Day. Strain Through A Wire Sieve To Remove The Angelica Root And Fennel. Return To Aging Container, Cover And Let Stand Undisturbed In A Cool Dark Place For 6 Months. Siphon Or Pour Clear Liqueur Into A Sterile Bottle. The Cloudy Dregs May Be Saved For Cooking.",Johnnie Walker,
456,Screaming Orgasm,,,,,"Pour First Vodka, Then Bailey's, Then Kahlua Into A Cocktail Glass Over Crushed Ice. Stir. Caution: Use Only High Quality Vodka. Cheap Vodka Can Cause The Bailey's To Curdle. Test Your Brand Of Vodka By Mixing 1 Tsp Each Of Vodka And Bailey's First.",,
457,Screwdriver,,,,,Mix In A Highball Glass With Ice. Garnish And Serve.,,
458,Sea Breeze,,,,,Build All Ingredients In A Highball Glass Filled With Ice. Garnish With Lime Wedge.,,
459,Sex On The Beach,,,,,Build All Ingredients In A Highball Glass Filled With Ice. Garnish With Orange Slice.,,
460,Shanghai Cocktail,,,,,,,1 Oz Jamaican
461,Shark Attack,,,,,Mix Lemonade And Water According To Instructions On Back Of Can. If The Instructions Say To Add 4 1/3 Cans Of Water Do So. Mix Into Pitcher. Add 1 1/2 Cup Of Vodka (absolut). Mix Well. Pour Into Glass Of Crushed Ice. Excellent!,,
462,Sherry Eggnog,,,,,"Shake Sherry, Powdered Sugar, And Egg With Ice And Strain Into A Collins Glass. Fill With Milk And Stir. Sprinkle Nutmeg On Top And Serve.",Sherry,2 Oz Cream
463,Sherry Flip,,,,,,,1 1/2 Oz Cream
464,Shot-gun,,,,,Pour One Part Jack Daneils And One Part Jim Beam Into Shot Glass Then Float Wild Turkey On Top.,Jim Beam,
465,Sidecar,,,,,Pour All Ingredients Into Cocktail Shaker Filled With Ice. Shake Well And Strain Into Cocktail Glass.,,
466,Sidecar Cocktail,,,,,,,
467,Singapore Sling,,,,,Pour All Ingredients Into Cocktail Shaker Filled With Ice Cubes. Shake Well. Strain Into Highball Glass. Garnish With Pineapple And Cocktail Cherry.,,
468,Sloe Gin Cocktail,,,,,,Sloe Gin,
469,Smut,,,,,Throw It All Together And Serve Real Cold.,,
470,Snake Bite (uk),,,,,Pour Ingredients Into A Pint Glass. Drink. Fall Over.,,
471,Snakebite And Black,,,,,Put Blackcurrant Squash In First Up To About 1cm In Glass. Then Add The Larger And Cider One After Another.,,
472,Snowball,,,,,Place One Ice Cube In The Glass And Add 1 1/2 Oz Of Advocaat. Fill Up The Glass With Lemonade And Decorate With A Slice Of Lemon. Serve At Once.,Advocaat,
473,Sol Y Sombra,,,,,"Shake Ingredients With Ice, Strain Into A Brandy Snifter, And Serve. (the English Translation Of The Name Of This Drink Is ""sun And Shade"", And After Sampling This Drink, You'll Understand Why. Thanks, Kirby.)",,
474,Space Odyssey,,,,,Fill Glass With Ice And Add Shots Of Bacardi And Malibu. Add Splash Of Pineapple Juice And Top With Orange Juice. Add Grenadine For Color And Garnish With Cherries.,,1 Shot Bacardi
475,Spanish Chocolate,,,,,"Stir The Milk With The Chocolate And The Cinnamon Over Low Heat Until The Chocolate Dissolves. Add The Eggs And Beat The Mixture Until It Becomes Thick, Taking Care Not To Boil. Serve In Coffee Mug.",,
476,Spiced Peach Punch,,,,,"Combine Peach Nectar, Orange Juice And Brown Sugar In A Large Saucepan. Tie Cinnamon And Cloves In A Small Cheesecloth Bag. Drop Into Saucepan. Heat Slowly, Stirring Constantly, Until Sugar Dissolves. Simmer 10 Minutes. Stir In Lime Juice. Serve In Hot Mugs.",Peach Nectar,46 Oz
477,Spiking Coffee,,,,,"Incidentally, A Pinch Of Cinnamon Is Indeed A Nice Addition To Coffee But True Heaven Is A Cardamom Seed. Of Course, You Serve It In A Coffee Mug.",,
478,Spritz,,,,,"Build Into Glass Over Ice, Garnish And Serve.",Prosecco,
479,Stinger,,,,,"Pour In A Mixing Glass With Ice, Stir And Strain Into A Cocktail Glass. May Also Be Served On Rocks In A Rocks Glass.",,
480,Stone Sour,,,,,"Shake All Ingredients With Ice, Strain Into A Chilled Whiskey Sour Glass, And Serve.",,
481,Strawberry Daiquiri,,,,,,,
482,Strawberry Lemonade,,,,,Throw Everything Into A Blender And Mix Until Fairly Smooth. Serve Over Ice.,Lemon,
483,Strawberry Margarita,,,,,"Rub Rim Of Cocktail Glass With Lemon Juice And Dip Rim In Salt. Shake Schnapps, Tequila, Triple Sec, Lemon Juice, And Strawberries With Ice, Strain Into The Salt-rimmed Glass, And Serve.",,
484,Strawberry Shivers,,,,,,,1 1/2 Cup
485,Sunny Holiday Punch,,,,,Combine All Ingredients In A Punch Bowl.,,46 Oz Chilled
486,Surf City Lifesaver,,,,,Lots Of Ice And Soda Top Up In Tall Glass With Cherry And A Grin.,Ouzo,
487,Swedish Coffee,,,,,Pour The Coffee In An Ordinary Coffee Cup. Add The Aquavit. Add Sugar By Taste. Stir And Have A Nice Evening (morning),,
488,Sweet Bananas,,,,,,,
489,Sweet Sangria,,,,,"Dissolve The Sugar In Hot Water And Cool. Peel The Citrus Fruits And Break Into Wedges. Mix The Wine, Sugar Syrup, Fruit, And Fresca In A Pitcher And Put In The Fridge For A Few Hours. Serve In Tall Glasses With A Straw.",,2 Bottles
490,Sweet Tooth,,,,,"Put 2 Shots Godiva Liquour Into A Glass, Add As Much Or As Little Milk As You Would Like.",Godiva Liqueur,
491,Talos Coffee,,,,,Add Your Gm And Then Add Your Coffee.,Grand Marnier,
492,Tennesee Mud,,,,,"Mix Coffee, Jack Daniels And Amaretto. Add Cream On Top.",,8 Oz
493,Tequila Fizz,,,,,"Shake All Ingredients (except Ginger Ale) With Ice And Strain Into A Collins Glass Over Ice Cubes. Fill With Ginger Ale, Stir, And Serve.",,
494,Tequila Sour,,,,,"Shake Tequila, Juice Of Lemon, And Powdered Sugar With Ice And Strain Into A Whiskey Sour Glass. Add The Half-slice Of Lemon, Top With The Cherry, And Serve.",,
495,Tequila Sunrise,,,,,"Pour The Tequila And Orange Juice Into Glass Over Ice. Add The Grenadine, Which Will Sink To The Bottom. Stir Gently To Create The Sunrise Effect. Garnish And Serve.",,2 Measures
496,Tequila Surprise,,,,,Fill Shot Glass With Tequila. Add Drops Of Tobasco Sauce.,,Full Glass
497,Texas Rattlesnake,,,,,"Mix All Ingredients And Shake Well. Sweet At First, With A Bite At The End...",Yukon Jack,
498,Texas Sling,,,,,"Blend With Ice Until Smooth. Serve In A Tulip Glass, Top With Whip Cream.",,
499,Thai Coffee,,,,,"Place The Coffee And Spices In The Filter Cone Of Your Coffee Maker. Brew Coffee As Usual, Let It Cool. In A Tall Glass, Dissolve 1 Or 2 Teaspoons Of Sugar In An Ounce Of The Coffee (it's Easier To Dissolve Than If You Put It Right Over Ice). Add 5-6 Ice Cubes And Pour Coffee To Within About 1 Inch Of The Top Of The Glass. Rest A Spoon On Top Of The Coffee And Slowly Pour Whipping Cream Into The Spoon. This Will Make The Cream Float On Top Of The Coffee Rather Than Dispersing Into It Right Away.",,6 Tblsp Ground
